Cement;Sand;W_C;Foam;Density;Comp_28
826;826;0.4;0.094;1982.22;39.87
748.8;374.4;0.45;0.281;1460.15;16.16
375;80;0.67;0.6;529.35;2.94
837.3;837.3;0.4;0.081;2009.48;43.54
400;920;0.7;0.26;1490;9.9
831.1;831.1;0.35;0.126;1956.74;42.6
776;776;0.35;0.184;1828.15;33.83
827.3;827.3;0.35;0.13;1947.85;41.92
440.32;880.64;0.45;0.33;1519.11;11.48
992.8;496.4;0.45;0.047;1936;36.96
757;378.5;0.45;0.273;1476.15;16.05
450.37;900.74;0.45;0.315;1553.78;11.96
416.5;1100;0.56;0.2;1600;16.5
982.2;491.1;0.45;0.057;1915.26;34.63
500;562;0.47;0.424;1300;6.07
675;675;0.35;0.292;1587.85;21.87
683.5;683.5;0.35;0.283;1607.7;23.86
758.2;758.2;0.35;0.203;1785.19;31.92
375;1100;0.67;0.2;1549.78;13.5
704.25;704.25;0.35;0.26;1658.07;24.73
675.6;675.6;0.35;0.291;1589.04;23.36
587.8;587.8;0.45;0.326;1440;12.3
760.65;380.33;0.45;0.27;1483.26;15.71
400;520;0.7;0.43;1100;5.2
300;905;0.5;0.4;1256.41;5.39
777.4;777.4;0.45;0.108;1904.59;31.44
698.3;698.3;0.3;0.302;1608.3;26.11
692.6;692.6;0.3;0.307;1595.26;25.36
826.3;826.3;0.35;0.131;1945.48;39.95
767.2;767.2;0.35;0.194;1806.22;30.88
400;720;0.7;0.35;1270;6.4
853.4;853.4;0.3;0.147;1965.63;48.48
831.9;831.9;0.4;0.087;1996.44;43.2
833.8;833.8;0.4;0.085;2001.19;43.79
987.7;493.85;0.45;0.052;1925.93;37.2
400;320;0.7;0.51;820;3.1
714.3;714.3;0.45;0.181;1749.93;24.49
705.2;705.2;0.3;0.295;1624.3;26.47
500;1137.5;0.52;0.166;1900;22.8
688.8;688.8;0.35;0.277;1620.15;22.01
759.5;759.5;0.35;0.202;1788.15;33.3
713;713;0.45;0.182;1746.96;24.53
770.6;770.6;0.3;0.229;1774.81;38.32
449.9;899.8;0.45;0.315;1552;10.45
701;701;0.35;0.263;1650.37;23.23
